modelname,eval
de_c_s_sl120_units128_dropout04_cat,0.9944572748267898
de_c_s_sl40_units128_dropout02,0.9916859122401848
de_c_s_sl40_units128_dropout02_cat,0.9912280701754386
de_c_s_sl90_units128_dropout04_cat,0.9911996294580825
de_c_s_sl40_units64_dropout02_cat,0.9909951512352805
de_c_s_sl40_units64_dropout02,0.990990990990991
de_c_s_sl40_units128_dropout04_cat,0.9907621247113164
de_c_s_sl40_units64_dropout04_cat,0.9907578558225508
de_c_s_sl40_units128_dropout00_cat,0.9907535829865927
de_c_s_sl40_units32_dropout00_cat,0.9903270382312298
de_c_s_sl40_units64_dropout00_cat,0.9893960350391886
de_c_s_sl40_units32_dropout02_cat,0.9893764434180139
de_c_s_sl40_units64_dropout00,0.988909426987061
de_c_s_sl40_units128_dropout04,0.9886862156545833
de_c_s_sl40_units32_dropout00,0.9886705202312138
de_c_s_sl40_units32_dropout04_cat,0.9877569877569877
de_c_s_sl40_units128_dropout00,0.9875690607734806
de_c_s_sl40_units64_dropout04,0.9875
de_c_s_sl40_units32_dropout02,0.9865802869042111
de_c_s_sl20_units128_dropout02_cat,0.9860982391102873
de_c_s_sl20_units128_dropout02,0.985869817002548
de_c_s_sl20_units64_dropout02_cat,0.9856415006947661
de_c_s_sl20_units64_dropout04_cat,0.9847080630213161
de_c_s_sl20_units128_dropout04_cat,0.984479962937225
de_c_s_sl20_units64_dropout00,0.984251968503937
de_c_s_sl20_units64_dropout02,0.983788791106994
de_c_s_sl20_units128_dropout00,0.9834101382488479
de_c_s_sl20_units128_dropout00_cat,0.9833871712044301
de_c_s_sl20_units32_dropout00,0.9826107118015303
de_c_s_sl20_units128_dropout04,0.9824480369515012
de_c_s_sl20_units32_dropout00_cat,0.9821965317919075
de_c_s_sl20_units64_dropout00_cat,0.9810972798524665
de_c_s_sl40_units32_dropout04,0.9808857808857809
de_c_s_sl20_units32_dropout02_cat,0.9808446803600277
de_c_s_sl20_units32_dropout02,0.9799346710219319
de_c_s_sl20_units64_dropout04,0.9792878752618106
de_c_s_sl20_units32_dropout04_cat,0.9750115687181861
de_c_s_sl20_units32_dropout04,0.9730483271375465
